ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
27370,simple,,"Electric Ceiling Shaker with Digital Display YR02956",1,0,visible,"<strong>Manufacturer</strong>: <em>Kalstein</em>\n\n<img class=""alignnone size-full wp-image-7597"" src=""https://www.kalstein.site/wp-content/uploads/2020/01/CE.jpg"" alt="""" width=""54"" height=""53"" />","Magnetic stirrers are often used in chemistry and biology. They are preferred over motorized agitator gear driven ones because they are quieter, more efficient, and have no moving external parts to break or wear out (other than the simple bar magnet). Due to its small size, a stir bar is more easily cleaned and sterilized than other stirring devices. They do not require lubricants that can contaminate the reaction vessel and product. They can be used inside hermetically sealed containers or systems, without the need for complicated rotary seals. Magnetic stirrers can also include a hot plate or some other means to heat the liquid.\n<h6>Product Characteristics</h6>\n<ul>\n 	<li>Very compact and easy to operate</li>\n 	<li>Temperature and speed digital display, heating temperature: Rt-380 degrees and mixing speed: 100-1800 RPM</li>\n 	<li>Heat and corrosion resistant aluminum alloy housing for durability</li>\n 	<li>Ceramic-coated aluminum heating plate for excellent heat distribution and corrosion resistance</li>\n 	<li>Specially designed housing prevents spills from damaging electronic components inside</li>\n 	<li>Secondary thermal insulation board prevents heat loss and eliminates heat damage to electronic components</li>\n 	<li>Adjustable temperature and rotation speed</li>\n</ul>\n<table dir=""ltr"" border=""1"" cellspacing=""0"" cellpadding=""0""><colgroup> <col width=""291"" /> <col width=""330"" /></colgroup>\n<tbody>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Model&quot;}""><strong>Model</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR02956&quot;}"">YR02956</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Engine power&quot;}""><strong>Engine power</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;100 W&quot;}"">100 W</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Type of motor&quot;}""><strong>Type of motor</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Brushless DC motor&quot;}"">Brushless DC motor</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Motor torque&quot;}""><strong>Motor torque</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;450 m N.M&quot;}"">450 m N.M</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Voltage&quot;}""><strong>Voltage</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;220V +/- 10% or 110V +/- 10%&quot;}"">220V +/- 10% or 110V +/- 10%</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Rotation speed of&quot;}""><strong>Rotation speed of</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;60- 1500rpm / 60- 2000rpm&quot;}"">60- 1500rpm / 60- 2000rpm</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Add capacity&quot;}""><strong>Add capacity</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;50ml - 50 L&quot;}"">50ml - 50 L</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Digital screen&quot;}""><strong>Digital screen</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;LED&quot;}"">LED</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Add Rod Length&quot;}""><strong>Add Rod Length</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;350mm&quot;}"">350mm</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Remove Rod Material&quot;}""><strong>Remove Rod Material</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Stainless steel&quot;}"">Stainless steel</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Length holder&quot;}""><strong>Length holder</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;700mm&quot;}"">700mm</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Chuck voltage range&quot;}""><strong>Chuck voltage range</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø1,5-10&quot;}"">Ø1,5-10</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Product dimension (mm)&quot;}""><strong>Product dimension (mm)</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;390 x 93x 160&quot;}"">390 x 93x 160</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Gross Weight (KG)&quot;}""><strong>Gross Weight (KG)</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:44208}"" data-sheets-numberformat=""{&quot;1&quot;:5,&quot;2&quot;:&quot;d.m&quot;,&quot;3&quot;:1}"">12.1</td>\n</tr>\n</tbody>\n</table>",,,taxable,,1,,,0,0,12.1,60,39,21,0,,,"496,08","Laboratory sector > Homogenizers > Homogenizer",,,"https://kalstein.net/en/wp-content/uploads/2021/07/YR02956-IMG.jpg, https://kalstein.net/en/wp-content/uploads/2021/07/YR02956-3-IMG.jpg, https://kalstein.net/en/wp-content/uploads/2021/07/YR02956-2-IMG.jpg, https://kalstein.net/en/wp-content/uploads/2021/07/YR02956-1-IMG.jpg",,,,,,,,,0,,,,,,,,
27521,variable,,"Ultrasonic Homogenizer YR05015 // YR05020",1,0,visible,"<strong>Manufacturer</strong>: <em>Kalstein</em>\n\n<img class=""alignnone size-full wp-image-7597"" src=""https://www.kalstein.ee/wp-content/uploads/2020/01/CE.jpg"" alt="""" width=""54"" height=""53"" />","<ul>\n 	<li>Single-chip technology + 4.3-inch TFT capacitive touch screen (optional 7-inch), optional computer communication or data printing;</li>\n 	<li>PID control, ultrasonic time, power can be set from 1% to 100%:</li>\n 	<li>Sample temperature detection frequency automatically tracking, and the fault is automatically alarmed;</li>\n 	<li>With overload protection function and the horn does not invade the liquid,it will automatically protect the horn from damage;</li>\n 	<li>Voice alarm if fault, over temperature or operation error.</li>\n</ul>\n<h6>Technical Description</h6>\n<table dir=""ltr"" border=""1"" cellspacing=""0"" cellpadding=""0""><colgroup> <col width=""171"" /> <col width=""100"" /> <col width=""100"" /> <col width=""100"" /> <col width=""100"" /> <col width=""100"" /> <col width=""100"" /></colgroup>\n<tbody>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Model&quot;}""><strong>Model</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR05015&quot;}"">YR05015</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR05016&quot;}"">YR05016</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR05017&quot;}"">YR05017</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR05018&quot;}"">YR05018</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR05019&quot;}"">YR05019</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR05020&quot;}"">YR05020</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Power (Continuous)&quot;}""><strong>Power (Continuous)</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;1.5 – 150W&quot;}"">1.5 – 150W</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;2-5 – 250 W&quot;}"">2-5 – 250 W</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;10 – 650 W&quot;}"">10 – 650 W</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;10 – 900 W&quot;}"">10 – 900 W</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;20 – 1 200W&quot;}"">20 – 1 200W</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;50 – 1 800W&quot;}"">50 – 1 800W</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Mixing Capacity&quot;}""><strong>Mixing Capacity</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0.1 – 150 ml&quot;}"">0.1 – 150 ml</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0.1 – 300 ml&quot;}"">0.1 – 300 ml</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0.1 – 500 ml&quot;}"">0.1 – 500 ml</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0.1 – 600 ml&quot;}"">0.1 – 600 ml</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;1 – 1 000 ml&quot;}"">1 – 1 000 ml</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;1 – 1 200ml&quot;}"">1 – 1 200ml</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Optional Probe (mm)&quot;}""><strong>Optional Probe (mm)</strong></td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 2/3/8&quot;}"">Ø 2/3/8</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 2/3/8/10&quot;}"">Ø 2/3/8/10</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 2/3/10/12&quot;}"">Ø 2/3/10/12</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 2/3/10/12/15&quot;}"">Ø 2/3/10/12/15</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 3/6/10/15/22/25&quot;}"">Ø 3/6/10/15/22/25</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 3/6/10/15/20/25/28&quot;}"">Ø 3/6/10/15/20/25/28</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ultrasonic Setting Time&quot;}""><strong>Ultrasonic Setting Time</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0.1 – 99.9s&quot;}"">0.1 – 99.9s</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Single Stop Time&quot;}""><strong>Single Stop Time</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0.1 – 99.9s&quot;}"">0.1 – 99.9s</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Total Time Setiing&quot;}""><strong>Total Time Setiing</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;1 – 99hrs 59min 59s&quot;}"">1 – 99hrs 59min 59s</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Frequency Range&quot;}""><strong>Frequency Range</strong></td>\n<td colspan=""4"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;20 – 25 KHz&quot;}"">20 – 25 KHz</td>\n<td colspan=""2"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;19.5 – 20.5KHz&quot;}"">19.5 – 20.5KHz</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Temp Control Range&quot;}""><strong>Temp Control Range</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0 – 100 C (Can be customized)&quot;}"">0 – 100 C (Can be customized)</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Alarm Functions&quot;}""><strong>Alarm Functions</strong></td>\n<td colspan=""3"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Time, Temperature, overload, no-load&quot;}"">Time, Temperature, overload, no-load</td>\n<td colspan=""3"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Time, Temperature, overload, no-load, over temperature&quot;}"">Time, Temperature, overload, no-load, over temperature</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Probe (Standard)&quot;}""><strong>Probe (Standard)</strong></td>\n<td colspan=""4"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 6 (mm)&quot;}"">Ø 6 (mm)</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 20 (mm)&quot;}"">Ø 20 (mm)</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Ø 22 (mm)&quot;}"">Ø 22 (mm)</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Display Mode&quot;}""><strong>Display Mode</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Touch Screen&quot;}"">Touch Screen</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Data Storage&quot;}""><strong>Data Storage</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;20 sets&quot;}"">20 sets</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Voltage (Optional 110V)&quot;}""><strong>Voltage (Optional 110V)</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;220 V / 110 V / 50 Hz / 60 Hz&quot;}"">220 V / 110 V / 50 Hz / 60 Hz</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Exterior Dimension&quot;}""><strong>Exterior Dimension</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;410 x 225 x 290 (mm)&quot;}"">410 x 225 x 290 (mm)</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Optional Function&quot;}""><strong>Optional Function</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Computer + data printing function + soundproof cabinet lighting and sterilization&quot;}"">Computer + data printing function + soundproof cabinet lighting and sterilization</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Control Mode&quot;}""><strong>Control Mode</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Single Chip Microcomputer ´TFT Touch Coontrol&quot;}"">Single Chip Microcomputer ´TFT Touch Coontrol</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Voice Alarm and prompt function&quot;}""><strong>Voice Alarm and prompt function</strong></td>\n<td colspan=""6"" rowspan=""1"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Yes&quot;}"">Yes</td>\n</tr>\n</tbody>\n</table>",,,taxable,,1,,,0,0,38,50,35,50,0,,,,"Laboratory sector > Homogenizers > Ultrasonic Homogenizer",,,https://kalstein.net/en/wp-content/uploads/2022/01/YR05015-YR05020-IMG-1-3.jpg,,,,,,,,,0,Model,"YR05015, YR05016, YR05017, YR05018, YR05019, YR05020",1,1,Measure,"Host: 470x305x430 Sound Proof: 350x350x550",1,1
52964,variation,,"Class B Benchtop Autoclave YR03385B-YR03385C - YR03385C",1,0,visible,,,,,taxable,parent,1,,,0,0,117,71.1,73,71.1,0,,,"4723,00",,,,,,,id:52922,,,,,,2,Model,YR03385C,,1,,,,
52965,variation,,"Class B Benchtop Autoclave YR03385B-YR03385C - YR03385B",1,0,visible,,,,,taxable,parent,1,,,0,0,143,91.1,73,71.1,0,,,"5614,00",,,,,,,id:52922,,,,,,1,Model,YR03385B,,1,,,,
52966,variation,,"Tabletop Autoclave Class B YR03387 // YR03390 - YR03387",1,0,visible,,,,,taxable,parent,1,,,0,0,41,61.7,41.7,47.7,0,,,"1555,00",,,,,,,id:52923,,,,,,1,Model,YR03387,,1,,,,
52967,variation,,"Tabletop Autoclave Class B YR03387 // YR03390 - YR03389",1,0,visible,,,,,taxable,parent,1,,,0,0,51,67.5,56,51,0,,,"1852,00",,,,,,,id:52923,,,,,,3,Model,YR03389,,1,,,,
52968,variation,,"Tabletop Autoclave Class B YR03387 // YR03390 - YR03390",1,0,visible,,,,,taxable,parent,1,,,0,0,58,76.5,51,56,0,,,"2050,00",,,,,,,id:52923,,,,,,4,Model,YR03390,,1,,,,
52969,variation,,"Tabletop Autoclave Class B YR03387 // YR03390 - YR03388",1,0,visible,,,,,taxable,parent,1,,,0,0,44,65.7,41.7,47.7,0,,,"1723,30",,,,,,,id:52923,,,,,,2,Model,YR03388,,1,,,,
52970,variation,,"Class N Table-top Autoclave YR03391 // YR03394 - YR03391",1,0,visible,,,,,taxable,parent,1,,,0,0,38,61.7,41.7,47.7,0,,,"1416,40",,,,,,,id:52924,,,,,,1,Model,YR03391,,1,,,,
52971,variation,,"Class N Table-top Autoclave YR03391 // YR03394 - YR03392",1,0,visible,,,,,taxable,parent,1,,,0,0,45,65.7,41.7,47.7,0,,,"1555,00",,,,,,,id:52924,,,,,,2,Model,YR03392,,1,,,,
